咪咕央卫,#genre#
超三联赛 超三联赛 仁怀大区赛 B档决赛及A档12进8 周赫 王冠证 08:55,http://45.192.97.170:8880/play/227.m3u8
攀岩系列赛 中国速度攀岩系列赛（湖南长沙站）Day2 湖南长沙站 12:00,http://45.192.97.170:8880/play/228.m3u8
男篮世预赛 新西兰VS叙利亚 赛场原声 13:50,http://45.192.97.170:8880/play/229.m3u8
超三联赛 超三联赛 仁怀大区赛 A档四分之一决赛 吴博文 13:55,http://45.192.97.170:8880/play/230.m3u8
亚锦赛 铜牌赛：伊朗女排 vs 日本女排 CCTV5 15:10,http://45.192.97.170:8880/play/231.m3u8
徽青赛 马鞍山VS宣城 赛场原声 16:00,http://45.192.97.170:8880/play/232.m3u8
徽青赛 亳州VS铜陵 赛场原声 16:00,http://45.192.97.170:8880/play/233.m3u8
海河超儿 东丽VS武清 赛场原声 16:00,http://45.192.97.170:8880/play/234.m3u8
全国女子篮球锦标赛 江苏南钢VS北京首钢园 清流播出 15:50,http://45.192.97.170:8880/play/235.m3u8
CPB中国棒球城市联赛 上海虎鲸VS福州海侠 清流播出 16:30,http://45.192.97.170:8880/play/236.m3u8
CPB中国棒球城市联赛 深圳蓝袜VS北京正大龙 清流播出 16:30,http://45.192.97.170:8880/play/237.m3u8
男篮世预赛 澳大利亚VS约旦 赛场原声 16:50,http://45.192.97.170:8880/play/238.m3u8
徽青赛 芜湖VS池州 赛场原声 17:00,http://45.192.97.170:8880/play/239.m3u8
NBA经典赛事 NBA精彩重播：快船vs火箭 邵化谦 苏群 18:00,http://45.192.97.170:8880/play/240.m3u8
海河超儿 河北VS河东 赛场原声 18:00,http://45.192.97.170:8880/play/241.m3u8
亚锦赛 决赛：中国女排 vs 泰国女排 CCTV5 18:25,http://45.192.97.170:8880/play/242.m3u8
中甲 宁波职业足球俱乐部VS梅州客家 解说 18:50,http://45.192.97.170:8880/play/243.m3u8
中甲 宁波职业足球俱乐部VS梅州客家 赛场原声 18:50,http://45.192.97.170:8880/play/244.m3u8
中甲 大连鲲城VS南通支云 解说 18:50,http://45.192.97.170:8880/play/245.m3u8
中甲 大连鲲城VS南通支云 赛场原声 18:50,http://45.192.97.170:8880/play/246.m3u8
蒙超联赛 包头队VS通辽队 赛场原声 19:00,http://45.192.97.170:8880/play/247.m3u8
徽BA 安庆VS马鞍山 赛场原声 19:00,http://45.192.97.170:8880/play/248.m3u8
徽BA 滁州VS铜陵 赛场原声 19:00,http://45.192.97.170:8880/play/249.m3u8
徽BA 芜湖VS合肥 赛场原声 19:00,http://45.192.97.170:8880/play/250.m3u8
